record_id	display_title	platform	emulator_id	filename	relative_path	format	size_bytes	modified_utc	sha1	status	config_id	reshade_preset	notes
xemu-03483f2de7f6	Medal of Honor - Frontline (USA)	xbox	xemu	Medal of Honor - Frontline (USA).xiso.iso	Medal of Honor - Frontline (USA)/Medal of Honor - Frontline (USA).xiso.iso	xiso.iso	3175874560	2026-05-27T14:38:33Z					
xemu-0d37fe9a45f9	Peter Jackson's King Kong - The Official Game of the Movie (USA, Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)	xbox	xemu	Peter Jackson's King Kong - The Official Game of the Movie (USA, Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi).xiso.iso	Peter Jackson's King Kong - The Official Game of the Movie (USA, Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)/Peter Jackson's King Kong - The Official Game of the Movie (USA, Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi).xiso.iso	xiso.iso	1425604608	2026-05-28T20:58:42Z					
xemu-16eda6c8be1b	Medal of Honor Airbone [NTSCU]	xbox	xemu	Medal of Honor Airbone [NTSCU].iso	Medal of Honor Airbone [NTSCU]/Medal of Honor Airbone [NTSCU].iso	iso	7835492352	2021-03-08T20:06:20Z					
xemu-1a403c9948d5	Burnout 3 - Takedown (USA)	xbox	xemu	Burnout 3 - Takedown (USA).xiso.iso	Burnout 3 - Takedown (USA)/Burnout 3 - Takedown (USA).xiso.iso	xiso.iso	2476408832	2026-05-12T11:42:32Z					
xemu-211041e5196c	Battlestar Galactica (USA)	xbox	xemu	Battlestar Galactica (USA).xiso.iso	Battlestar Galactica (USA)/Battlestar Galactica (USA).xiso.iso	xiso.iso	1411710976	2026-05-11T06:49:24Z					
xemu-29e356626081	Matrix, The - Path of Neo (USA)	xbox	xemu	Matrix, The - Path of Neo (USA).xiso.iso	Matrix, The - Path of Neo (USA)/Matrix, The - Path of Neo (USA).xiso.iso	xiso.iso	4779802624	2026-05-27T02:39:20Z					
xemu-3ecebaa6dcc3	Burnout Revenge (USA)	xbox	xemu	Burnout Revenge (USA).xiso.iso	Burnout Revenge (USA)/Burnout Revenge (USA).xiso.iso	xiso.iso	2304311296	2026-05-12T13:08:51Z					
xemu-4a454117b069	Halo 2 (USA, Europe) (En,Ja,Fr,De,Es,It,Zh,Ko)	xbox	xemu	Halo 2 (USA, Europe) (En,Ja,Fr,De,Es,It,Zh,Ko).xiso.iso	Halo 2 (USA, Europe) (En,Ja,Fr,De,Es,It,Zh,Ko)/Halo 2 (USA, Europe) (En,Ja,Fr,De,Es,It,Zh,Ko).xiso.iso	xiso.iso	4720951296	2026-05-26T15:19:07Z					
xemu-56a27e62ae6d	Halo - Combat Evolved (USA) (Rev 2)	xbox	xemu	Halo - Combat Evolved (USA) (Rev 2).xiso.iso	Halo - Combat Evolved (USA) (Rev 2)/Halo - Combat Evolved (USA) (Rev 2).xiso.iso	xiso.iso	3625254912	2026-05-26T08:03:46Z					
xemu-5b09a1cde081	Stubbs the Zombie in Rebel Without a Pulse (USA)	xbox	xemu	Stubbs the Zombie in Rebel Without a Pulse (USA).xiso.iso	Stubbs the Zombie in Rebel Without a Pulse (USA)/Stubbs the Zombie in Rebel Without a Pulse (USA).xiso.iso	xiso.iso	2052259840	2026-05-21T08:30:47Z					
xemu-6e35dca5ea8a	Midnight Club 3 - DUB Edition Remix (USA)	xbox	xemu	Midnight Club 3 - DUB Edition Remix (USA).xiso.iso	Midnight Club 3 - DUB Edition Remix (USA)/Midnight Club 3 - DUB Edition Remix (USA).xiso.iso	xiso.iso	4840095744	2026-05-28T08:05:10Z					
xemu-95e4ea00e9e5	Mercenaries (USA, Europe)	xbox	xemu	Mercenaries (USA, Europe).iso	Mercenaries (USA, Europe)/Mercenaries (USA, Europe).iso	iso	7825162240	1996-12-25T05:32:00Z					
xemu-a785d5cdaab0	Mercenaries (USA, Europe)	xbox	xemu	Mercenaries (USA, Europe).xiso.iso	Mercenaries (USA, Europe)/Mercenaries (USA, Europe).xiso.iso	xiso.iso	2507603968	2026-05-28T01:31:53Z					
xemu-a9bfefb53835	Crimson Skies - High Road to Revenge (USA) (En,Fr,De,Zh,Ko)	xbox	xemu	Crimson Skies - High Road to Revenge (USA) (En,Fr,De,Zh,Ko).xiso.iso	Crimson Skies - High Road to Revenge (USA) (En,Fr,De,Zh,Ko)/Crimson Skies - High Road to Revenge (USA) (En,Fr,De,Zh,Ko).xiso.iso	xiso.iso	4381343744	2026-05-14T23:32:37Z					
xemu-bea19f70807f	Destroy All Humans! 2 (USA, Europe) (En,Fr,De,Es,It)	xbox	xemu	Destroy All Humans! 2 (USA, Europe) (En,Fr,De,Es,It).xiso.iso	Destroy All Humans! 2 (USA, Europe) (En,Fr,De,Es,It)/Destroy All Humans! 2 (USA, Europe) (En,Fr,De,Es,It).xiso.iso	xiso.iso	2638086144	2026-05-19T00:33:59Z					
xemu-f892cdc0fd6c	Call of Duty 3 (USA, Europe)	xbox	xemu	Call of Duty 3 (USA, Europe).xiso.iso	Call of Duty 3 (USA, Europe)/Call of Duty 3 (USA, Europe).xiso.iso	xiso.iso	4251385856	2026-05-12T22:24:35Z					
xemu-fc60ad09d858	Medal of Honor - European Assault (USA)	xbox	xemu	Medal of Honor - European Assault (USA).xiso.iso	Medal of Honor - European Assault (USA)/Medal of Honor - European Assault (USA).xiso.iso	xiso.iso	1757085696	2026-05-27T12:47:11Z					
xemu-fc7fdfe1dc05	Call of Cthulhu - Dark Corners of the Earth (USA)	xbox	xemu	Call of Cthulhu - Dark Corners of the Earth (USA).xiso.iso	Call of Cthulhu - Dark Corners of the Earth (USA)/Call of Cthulhu - Dark Corners of the Earth (USA).xiso.iso	xiso.iso	3401056256	2026-05-12T15:25:58Z					
xemu-ff991f8e4c20	Destroy All Humans! (USA)	xbox	xemu	Destroy All Humans! (USA).xiso.iso	Destroy All Humans! (USA)/Destroy All Humans! (USA).xiso.iso	xiso.iso	2277376000	2026-05-19T00:04:21Z					
